"","Month (We are collecting April, May, June, July, August, September of 2022 for each clinic)","Unit of Measure Name (Primary Clinic #1, Primary Clinic #2, etc) (if you have 150 clinics you should have 150 lines of data submitted here)","Organization Number","Organization Region Type (Rural, Community, Urban): Rural 1, Community 2, Urban 3","Organization Type (Stand Alone Medical Group, Academic HealthSystem, Integrated Health System, Federally Qualitifed Health System, Rural Health System): Stand Alone 1, Academic 2, Integrated 3, Federally Qualified 4, Rural 5","Number of Ambulatory Clinics (Total Clinics: Primary Peds, Primary Adult, Primary Family, Specialty, Hospital Based, Stand Alone, other)","Total Number of Ambulatory Primary Care Clinics that care for all ages (pediatric through adult)","Total number of Ambulatory Primary Care Clinics that Serve Adults over 18 years of Age","Organization Magnet Status: Yes 1, No 2","Organization Magnet Status inclusive of Ambulatory Structure: Yes 1, No 2","Organization Stand alone for Ambulatory Structure. Achievement of Magnet: Yes 1, No 2","Chief Nursing Officer Present for Ambulatory Structure: Yes 1, No 2","Number of Primary Care Clinics serving adults over 18 years of age with RN Manager","Ratio of RN Manager to Primary Care Clinic serving over 18 year old adults (choose the following: 1= 1:1 ratio, 2= 3:1 ratio, 3= 6:1 ratio, 4= 1: 10 or over clinics ratio)","Collective Bargaining Unit in Place Ambulatory Structure: Yes 1, No 2","Centralized RN Staffing in place for Ambulatory Primary Care Clinics Submitted? Yes 1 or No 2","If Centralized RN Staffing in place for Ambulatory Primary Clinics Submitted what are Actual RN Hours Worked/month by that combined staff?","Centralized Telehealth Center in place for Ambulatory Primary Care Clinics for the purposes of Access, Population Health or Care Coordination: Yes 1 or No 2","If Centralized Telehealth Center in place for Ambulatory Primary Care Clinics Submitted what are the actual Hours Worked/month by that combined staff?","Unit of Measurement Total Number of Patients over 18 years of age seen/month (Total number of patients seen/month= visits +  telehealth encounters + RN Visits/Month collected for the 6 months collected) (April thru September 2022) (Sum of Column U, V and W)","Unit of Measurement Total Number of Visits/Month/6 months collected for patients over 18 years of age","Unit of Measurement Total Number of RN Visits/Month/6 months collected for patients over 18 years of age","Unit of Measurement Total Number of RN Tele or Virtual Visits/Month/6 months collected","Actual Hours Worked RN/Clinic/Month Collected","Actual Hours Worked APN/Clinic/Month Collected","Actual Hours Worked PA/Clinic/Month Collected","Actual Hours Worked MA/Clinic/Month Collected","Actual Hours Worked MD/Clinic/Month Collected","Actual Hours Worked LPN/Clinic/Month Collected","Actual Hours Worked/Other Ancillary Staff","Actual Hours Worked Contract Staff/Clinic/Month Collected","Budgeted Hours Worked RN/Clinic/Month Collected","Budgeted Hours Worked APN/Clinic/Month Collected","Budgeted Hours Worked PA/Clinic/Month Collected","Budgeted Hours Worked MA/Clinic/Month Collected","Budgeted Hours Worked MD/Clinic/Month Collected","Budgeted Hours Worked LPN/Clinic/Month Collected","Budgeted Hours Worked/Other Ancillary Staff/Clinic/Month Collected","Budgeted Hours Worked Contract Staff/Clinic/Month Collected","Number of Patients Served between 18-40 years of age/Clinic/Month","Number of Patients Served between 41-65 years of age/Clinic/Month","Number of Patients Served between 66-89 years of age/Clinic/Month","Number of Patients Served over 89 years of age/Clinic/Month","Race: Number of Black African American Patients Served in Unit/Month Collected","Race: Number of Caucasian/White Patients Served in Unit/Month Collected","Race: Number of Asian Patients Served in Unit/Month Collected","Race: Number of Native Hawaiaan Patients Served in Unit/Month Collected","Race: Number Of Other Pacific Islander Patients Served in Unit/Month Collected","Race: Number of American Indian/Alaskan Indian Patients Served in Unit/Month Collected","Race: Number of Multiracial Patients (more than 1 race identified) Served in Unit/Month Collected","Race: Number of Unreported Race Patients Served in Unit/Month Collected","Ethnicity: Numberof Hispanic Patient Service in Unit/Month Collected","Ethnicity: Number of Non Hispanic Patients. Served in Unit/Month Collected","Ethnicity: Number of Unreported Ethnicity Patients Served in Unit/Month Collected","Gender at Birth: Number of Female Patients Served in Unit/Month Collected","Gender at Birth: Number of Male Patients Served in Unit/Month Collected","Gender at Birth: Number of Patients Who Identify as Unknown Gender at Time of Birth in Unit/Month Collected","Gender at Birth: Number of Patients Who Identify as ""X"" Gender at time of Birth in Unit/Month","Number of Patients with Private Payor in Unit/Month Collected","Number of Patients with Public/Governmental Payor in Unit/Month Collected","Number of Patients that are Uninsured in unit/month collected","Number of Patients Blood Pressure Assessed in Unit/Month Collected","Number of Patients with BP over 140/90/Unit/Month Collected","Number of Patients with Body Mass Index Assessed in Unit/Month Collected","Number of Patients with Body Mass Index over 30 in unit/month collected","Number of Patients with HGB A1C Assessed in unit/month collected","Number of Patients with HGB A1C over 9.0 in unit/month collected","Number of Patients with HGB A1C 8.0-8.9 in unit/month collected","Number of Patients with HGB A1C under 7.0-7.9in unit/month collected","Number of Patients with HGB A1C under 7.0"
"13","April 2022",3019083950,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family","No","No","No","Yes",1,"1 RN : 2 sites",NA,NA,NA,NA,NA,539,539,0,0,"--","--","--","--","--","--","--","--",0,128,0,480,288,320,0,"--",115,276,146,2,121,365,8,0,"n/a",0,40,5,35,497,7,351,188,0,0,340,190,9,504,110,515,265,112,0,5,7,87
"14","April 2022",3019084000,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family","No","No","No","Yes",1,"1 RN : 2 sites",NA,NA,NA,NA,NA,1840,1840,0,0,"--","--","--","--","--","--","--","--",160,64,160,480,160,320,0,"--",323,902,595,20,251,1429,46,2,"n/a",6,99,7,96,1720,24,1070,770,0,0,1071,740,29,1789,440,1721,848,1,0,0,0,1
"15","April 2022",3019086630,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family","No","No","No","Yes",1,"1 RN : 2 sites",NA,NA,NA,NA,NA,505,505,0,0,"--","--","--","--","--","--","--","--",160,0,0,176,416,160,0,"--",193,223,86,3,296,142,12,0,"n/a",2,49,4,18,481,6,360,145,0,0,356,144,5,458,130,477,226,117,0,3,7,102
"16","April 2022",3019090090,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family","No","No","No","Yes",1,"1 RN : 2 sites",NA,NA,NA,NA,NA,405,400,5,0,"--","--","--","--","--","--","--","--",320,0,0,320,272,0,0,"--",85,169,147,3,24,359,3,0,"n/a",0,16,2,17,386,1,284,120,0,0,203,190,12,366,87,381,176,0,0,0,0,0
"17","April 2022",3019091030,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family","No","No","No","Yes",1,"1 RN : 2 sites",NA,NA,NA,NA,NA,289,288,1,0,"--","--","--","--","--","--","--","--",160,0,0,320,160,0,0,"--",58,144,87,0,24,240,8,0,"n/a",1,15,1,21,266,2,150,139,0,0,173,109,7,287,41,287,144,24,0,3,6,14
"18","April 2022",3019091900,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family","No","No","No","Yes",1,"1 RN : 2 sites",NA,NA,NA,NA,NA,255,252,3,0,"--","--","--","--","--","--","--","--",160,0,0,320,176,0,0,"--",28,137,90,0,54,175,5,0,"n/a",0,19,2,11,240,4,164,91,0,0,147,104,4,239,63,249,125,0,0,0,0,0
"19","April 2022",3019097350,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family","No","No","No","Yes",1,"1 RN : 1 site","No","No","N/A","No","N/A",600,600,0,0,"--","--","--","--","--","--","--","--",160,640,0,1120,480,640,0,"--",180,342,77,1,48,502,12,0,"n/a",0,37,1,39,560,1,320,280,0,0,464,121,15,585,74,590,268,0,0,0,0,0
"20","April 2022",3039000021,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family","No","No","No","Yes",1,"1 RN : 1 site",NA,NA,NA,NA,NA,41,41,0,0,"--","--","--","--","--","--","--","--",0,0,0,1280,1296,0,160,"--",16,21,4,0,23,17,0,0,"n/a",0,1,0,1,40,0,31,10,0,0,17,16,8,0,0,0,0,0,0,0,0,0
"21","April 2022",3039000022,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family","No","No","No","Yes",0,"0",NA,NA,NA,NA,NA,309,309,0,0,"--","--","--","--","--","--","--","--",0,160,0,320,160,160,0,"--",100,118,91,0,290,12,1,0,"n/a",0,6,0,1,307,1,242,67,0,0,140,164,5,302,123,300,170,116,0,7,10,86
"22","April 2022",3039000049,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family","No","No","No","Yes",0,"0",NA,NA,NA,NA,NA,284,284,0,0,"--","--","--","--","--","--","--","--",0,0,0,160,160,160,0,"--",207,64,13,0,101,134,25,0,"n/a",0,23,1,18,266,0,209,75,0,0,238,35,11,240,70,241,101,95,0,1,3,86
"23","April 2022",3039000057,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family","No","No","No","Yes",0,"0",NA,NA,NA,NA,NA,1578,1578,0,0,"--","--","--","--","--","--","--","--",0,0,0,320,1280,160,0,"--",177,819,555,16,1302,230,3,0,"n/a",0,26,6,20,1542,5,666,901,0,0,186,1157,235,373,121,382,194,752,3,1,25,546
"24","April 2022",3039000112,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family","No","No","No","Yes",1,"1 RN : 2 sites",NA,NA,NA,NA,NA,473,467,6,0,"--","--","--","--","--","--","--","--",0,0,0,160,320,160,0,"--",148,209,115,1,91,159,151,1,"n/a",1,49,21,42,403,28,298,175,0,0,330,135,8,454,112,451,164,2,0,0,0,2
"25","April 2022",3039000124,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family","No","No","No","Yes",1,"1 RN : 3 sites",NA,NA,NA,NA,NA,201,199,2,0,"--","--","--","--","--","--","--","--",160,0,0,320,160,0,0,"--",112,76,11,2,63,88,20,0,"n/a",1,25,4,28,170,3,150,51,0,0,175,22,4,155,42,194,87,9,0,1,2,6
"26","April 2022",3039000134,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family","No","No","No","Yes",1,"1 RN : 3 sites",NA,NA,NA,NA,NA,479,479,0,0,"--","--","--","--","--","--","--","--",0,0,0,0,320,160,0,"--",134,187,148,9,96,276,51,1,"n/a",1,50,3,32,441,5,314,164,0,0,253,188,38,461,111,462,179,117,0,3,11,97
"27","April 2022",3039000166,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family","No","No","No","Yes",0,"0",NA,NA,NA,NA,NA,235,235,0,0,"--","--","--","--","--","--","--","--",0,0,0,160,160,0,0,"--",52,114,67,2,213,12,1,0,"n/a",0,9,0,6,229,0,136,99,0,0,100,130,5,229,70,230,127,33,1,4,3,19
"28","April 2022",3039000181,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family","No","No","No","Yes",1,"1 RN : 2 sites",NA,NA,NA,NA,NA,251,251,0,0,"--","--","--","--","--","--","--","--",0,0,0,160,160,0,0,"--",64,112,70,5,29,155,36,0,"n/a",0,31,0,15,232,4,112,139,0,0,167,77,7,234,26,234,63,18,0,1,0,16
"29","April 2022",3039024730,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family","No","No","No","Yes",1,"1 RN : 3 sites",NA,NA,NA,NA,NA,816,811,5,0,"--","--","--","--","--","--","--","--",160,0,160,480,480,160,0,"--",186,389,237,4,100,532,39,0,"n/a",2,117,26,58,730,28,448,368,0,0,495,294,27,666,257,675,231,0,0,0,0,0
"30","April 2022",3039024764,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family","No","No","No","Yes",0,"0",NA,NA,NA,NA,NA,409,407,2,0,"--","--","--","--","--","--","--","--",0,0,0,0,0,0,0,"--",275,116,16,2,256,125,10,0,"n/a",0,14,4,16,388,5,212,197,0,0,332,69,8,396,84,394,171,2,0,0,0,2
"31","April 2022",3049000033,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family","No","No","No","Yes",0,"0",NA,NA,NA,NA,NA,270,270,0,0,"--","--","--","--","--","--","--","--",0,320,0,0,160,480,0,"--",29,110,126,5,119,142,0,0,"n/a",0,3,6,1,268,1,166,104,0,0,90,164,16,236,106,213,109,62,0,8,9,33
"32","April 2022",3049000048,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family","No","No","No","Yes",0,"0",NA,NA,NA,NA,NA,347,347,0,0,"--","--","--","--","--","--","--","--",0,160,0,160,160,160,0,"--",86,171,89,2,152,184,3,0,"n/a",0,3,6,4,344,0,183,165,0,0,144,194,9,269,87,263,147,46,0,4,3,36
"33","April 2022",3049000051,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family","No","No","No","Yes",0,"0",NA,NA,NA,NA,NA,337,337,0,0,"--","--","--","--","--","--","--","--",0,320,0,0,160,480,0,"--",37,96,189,15,75,237,5,0,"n/a",1,4,15,0,337,0,204,133,0,0,81,250,6,244,97,235,93,47,0,3,6,34
"34","April 2022",3049000058,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family","No","No","No","Yes",0,"0",NA,NA,NA,NA,NA,696,696,0,0,"--","--","--","--","--","--","--","--",0,160,0,480,320,480,0,"--",200,369,126,1,379,285,8,0,"n/a",6,16,1,14,679,3,458,238,0,0,286,374,36,678,305,648,385,48,0,4,4,22
"35","April 2022",3049000066,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family","No","No","No","Yes",0,"0",NA,NA,NA,NA,NA,235,235,0,0,"--","--","--","--","--","--","--","--",160,0,0,160,160,160,0,"--",52,112,71,0,91,138,0,1,"n/a",1,1,3,2,231,2,156,79,0,0,81,151,3,183,57,173,112,32,0,1,6,24
"36","April 2022",3049025340,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family","No","No","No","Yes",0,"0",NA,NA,NA,NA,NA,0,0,0,0,"--","--","--","--","--","--","--","--",0,0,0,160,160,0,0,"--",0,0,0,0,0,0,0,0,"n/a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","April 2022",3019075490,NA,2,"Medical Group","Primary Adult","TOTAL: 36","Primary Adult","No","No","No","Yes",1,"1 RN : 1 site",NA,NA,NA,NA,NA,688,688,0,0,"--","--","--","--","--","--","--","--",160,272,128,736,480,640,0,"--",194,316,174,4,195,376,37,0,"n/a",1,74,5,56,629,3,352,336,0,0,412,264,12,657,128,668,308,46,0,2,7,34
"38","April 2022",3019020300,NA,2,"Medical Group","Primary Adult",NA,"Primary Adult","No","No","No","Yes",0,"0",NA,NA,NA,NA,NA,865,860,5,0,"--","--","--","--","--","--","--","--",320,256,0,480,496,0,0,"--",108,348,375,30,352,452,15,0,"n/a",1,35,6,30,821,10,604,257,0,0,361,492,12,771,227,825,405,251,0,15,28,189
"39","April 2022",3019073200,NA,2,"Medical Group","Primary Adult",NA,"Primary Adult","No","No","No","Yes",0,"0",NA,NA,NA,NA,NA,622,622,0,0,"--","--","--","--","--","--","--","--",0,0,0,480,480,160,0,"--",57,208,337,20,56,526,19,0,"n/a",1,19,1,11,607,4,376,246,0,0,252,362,8,569,144,572,227,159,0,4,21,128
"40","April 2022",3019073510,NA,2,"Medical Group","Primary Adult",NA,"Primary Adult","No","No","No","Yes",1,"1 RN : 1 site",NA,NA,NA,NA,NA,2421,2421,0,0,"--","--","--","--","--","--","--","--",160,144,144,1536,1120,800,0,"--",284,816,1242,79,394,1890,31,3,"n/a",1,92,10,70,2338,13,1388,1033,0,0,914,1465,42,2273,568,2235,861,321,1,19,31,255
"41","April 2022",3019074460,NA,2,"Medical Group","Primary Adult",NA,"Primary Adult","No","No","No","Yes",1,"1 RN : 1 site",NA,NA,NA,NA,NA,2755,2755,0,0,"--","--","--","--","--","--","--","--",480,320,0,2064,1552,800,0,"--",296,1340,1091,28,999,1583,35,3,"n/a",9,115,11,80,2654,21,1696,1059,0,0,1333,1389,33,2560,838,2649,1406,531,0,33,50,420
"42","April 2022",3019074550,NA,2,"Medical Group","Primary Adult",NA,"Primary Adult","No","No","No","Yes",1,"1 RN : 3 sites",NA,NA,NA,NA,NA,285,285,0,0,"--","--","--","--","--","--","--","--",0,0,0,160,176,320,0,"--",19,132,132,2,196,69,0,0,"n/a",0,19,1,12,271,2,224,61,0,0,128,152,5,281,53,278,146,68,0,4,9,52
"43","April 2022",3019075400,NA,2,"Medical Group","Primary Adult",NA,"Primary Adult","No","No","No","Yes",1,"1 RN : 2 sites",NA,NA,NA,NA,NA,521,521,0,0,"--","--","--","--","--","--","--","--",0,0,0,320,480,160,0,"--",132,233,152,4,66,333,49,1,"n/a",2,64,6,27,483,11,288,233,0,0,335,180,6,505,95,513,208,122,0,3,8,109
"44","April 2022",3019087160,NA,2,"Medical Group","Primary Adult",NA,"Primary Adult","No","No","No","Yes",1,"1 RN : 1 site",NA,NA,NA,NA,NA,1994,1994,0,0,"--","--","--","--","--","--","--","--",160,128,0,1664,1216,800,0,"--",392,968,606,28,360,1415,70,1,"n/a",9,112,27,109,1855,30,1235,759,0,0,1248,713,33,1895,384,1892,843,8,0,2,1,5
"45","April 2022",3039024947,NA,2,"Medical Group","Primary Adult",NA,"Primary Adult","No","No","No","Yes",0,"0",NA,NA,NA,NA,NA,299,299,0,0,"--","--","--","--","--","--","--","--",0,160,0,320,160,160,0,"--",11,127,157,4,170,121,0,0,"n/a",0,8,0,5,294,0,147,152,0,0,88,208,3,277,97,270,131,98,1,13,23,54
"46","April 2022",3049000061,NA,2,"Medical Group","Primary Adult",NA,"Primary Adult","No","No","No","Yes",0,"0",NA,NA,NA,NA,NA,319,319,0,0,"--","--","--","--","--","--","--","--",0,0,0,160,160,160,0,"--",69,145,101,4,179,129,4,0,"n/a",1,6,0,4,315,0,247,72,0,0,122,190,7,302,110,298,171,0,0,0,0,0
"47","May 2022",3019024088,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,1,"1 RN : 1 site",NA,NA,NA,NA,NA,1472,1472,0,0,"--","--","--","--","--","--","--","--",0,0,160,640,710,640,0,"--",495,666,299,12,604,596,91,155,"n/a",2,155,20,141,1299,32,922,549,1,0,986,462,24,1260,347,1234,527,7,0,1,1,3
"48","May 2022",3019024401,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,0,"0",NA,NA,NA,NA,NA,903,903,0,0,"--","--","--","--","--","--","--","--",0,480,0,640,160,160,0,"--",88,430,377,8,75,777,10,31,"n/a",4,31,6,30,866,7,524,379,0,0,429,460,14,825,266,880,436,0,0,0,0,0
"49","May 2022",3019024893,NA,2,"Medical Group","Primary Family","Primary Family","Primary Family",NA,NA,NA,NA,1,"1 RN : 1 site",NA,NA,NA,NA,NA,1140,1128,12,0,"--","--","--","--","--","--","--","--",160,96,0,800,624,160,0,"--",262,577,294,6,54,993,23,57,"n/a",2,57,8,60,1064,15,573,566,0,0,747,348,45,1045,211,1052,422,51,0,8,16,24
