"","Month (We are collecting April, May, June, July, August, September of 2022 for each clinic)","Unit of Measure Name (Primary Clinic #1, Primary Clinic #2, etc) (if you have 150 clinics you should have 150 lines of data submitted here)","Organization Number","Organization Region Type (Rural, Community, Urban): Rural 1, Community 2, Urban 3","Organization Type (Stand Alone Medical Group, Academic HealthSystem, Integrated Health System, Federally Qualitifed Health System, Rural Health System): Stand Alone 1, Academic 2, Integrated 3, Federally Qualified 4, Rural 5","Number of Ambulatory Clinics (Total Clinics: Primary Peds, Primary Adult, Primary Family, Specialty, Hospital Based, Stand Alone, other)","Total Number of Ambulatory Primary Care Clinics that care for all ages (pediatric through adult)","Total number of Ambulatory Primary Care Clinics that Serve Adults over 18 years of Age","Organization Magnet Status: Yes 1, No 2","Organization Magnet Status inclusive of Ambulatory Structure: Yes 1, No 2","Organization Stand alone for Ambulatory Structure. Achievement of Magnet: Yes 1, No 2","Chief Nursing Officer Present for Ambulatory Structure: Yes 1, No 2","Number of Primary Care Clinics serving adults over 18 years of age with RN Manager","Ratio of RN Manager to Primary Care Clinic serving over 18 year old adults (choose the following: 1= 1:1 ratio, 2= 3:1 ratio, 3= 6:1 ratio, 4= 1: 10 or over clinics ratio)","Collective Bargaining Unit in Place Ambulatory Structure: Yes 1, No 2","Centralized RN Staffing in place for Ambulatory Primary Care Clinics Submitted? Yes 1 or No 2","If Centralized RN Staffing in place for Ambulatory Primary Clinics Submitted what are Actual RN Hours Worked/month by that combined staff?","Centralized Telehealth Center in place for Ambulatory Primary Care Clinics for the purposes of Access, Population Health or Care Coordination: Yes 1 or No 2","If Centralized Telehealth Center in place for Ambulatory Primary Care Clinics Submitted what are the actual Hours Worked/month by that combined staff?","Unit of Measurement Total Number of Patients over 18 years of age seen/month (Total number of patients seen/month= visits +  telehealth encounters + RN Visits/Month collected for the 6 months collected) (April thru September 2022) (Sum of Column AB, AC, AD)","Unit of Measurement Total Number of Visits/Month/6 months collected for patients over 18 years of age","Unit of Measurement Total Number of RN Visits/Month/6 months collected for patients over 18 years of age","Unit of Measurement Total Number of RN Tele or Virtual Visits/Month/6 months collected","Actual Hours Worked RN/Clinic/Month Collected","Actual Hours Worked APN/Clinic/Month Collected","Actual Hours Worked PA/Clinic/Month Collected","Actual Hours Worked MA/Clinic/Month Collected","Actual Hours Worked MD/Clinic/Month Collected","Actual Hours Worked LPN/Clinic/Month Collected","Actual Hours Worked/Other Ancillary Staff","Actual Hours Worked Contract Staff/Clinic/Month Collected","Budgeted Hours Worked RN/Clinic/Month Collected","Budgeted Hours Worked APN/Clinic/Month Collected","Budgeted Hours Worked PA/Clinic/Month Collected","Budgeted Hours Worked MA/Clinic/Month Collected","Budgeted Hours Worked MD/Clinic/Month Collected","Budgeted Hours Worked LPN/Clinic/Month Collected","Budgeted Hours Worked/Other Ancillary Staff/Clinic/Month Collected","Budgeted Hours Worked Contract Staff/Clinic/Month Collected","Number of Patients Served between 18-40 years of age/Clinic/Month","Number of Patients Served between 41-65 years of age/Clinic/Month","Number of Patients Served between 66-89 years of age/Clinic/Month","Number of Patients Served over 89 years of age/Clinic/Month","Race: Number of Black African American Patients Served in Unit/Month Collected","Race: Number of Caucasian/White Patients Served in Unit/Month Collected","Race: Number of Asian Patients Served in Unit/Month Collected","Race: Number of Native Hawaiaan Patients Served in Unit/Month Collected","Race: Number Of Other Pacific Islander Patients Served in Unit/Month Collected","Race: Number of American Indian/Alaskan Indian Patients Served in Unit/Month Collected","Race: Number of Multiracial Patients (more than 1 race identified) Served in Unit/Month Collected","Race: Number of Unreported Race Patients Served in Unit/Month Collected","Ethnicity: Numberof Hispanic Patient Service in Unit/Month Collected","Ethnicity: Number of Non Hispanic Patients. Served in Unit/Month Collected","Ethnicity: Number of Hispanic Patients Served in Unit/Month Collected","Ethnicity: Number of Unreported Ethnicity Patients Served in Unit/Month Collected","Gender at Birth: Number of Female Patients Served in Unit/Month Collected","Gender at Birth: Number of Male Patients Served in Unit/Month Collected","Gender at Birth: Number of Patients Who Identify as Unknown Gender at Time of Birth in Unit/Month Collected","Gender at Birth: Number of Patients Who Identify as ""X"" Gender at time of Birth in Unit/Month","Number of Patients with Private Payor in Unit/Month Collected","Number of Patients with Public/Governmental Payor in Unit/Month Collected","Number of Patients that are Uninsured in unit/month collected","Number of Patients Blood Pressure Assessed in Unit/Month Collected","Number of Patients with BP over 140/90/Unit/Month Collected","Number of Patients with Body Mass Index Assessed in Unit/Month Collected","Number of Patients with Body Mass Index over 30 in unit/month collected","Number of Patients with HGB A1C Assessed in unit/month collected","Number of Patients with HGB A1C over 9.0 in unit/month collected","Number of Patients with HGB A1C 8.0-8.9 in unit/month collected","Number of Patients with HGB A1C under 7.0-7.9in unit/month collected","Number of Patients with HGB A1C under 7.0","Number of Patients with HGB A1C equal 9.0 in unit/month collected"
"11",2022-04-01,"Primary Clinic #11","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"234.1",1,"394.43","1491",1401,83,7,336.33,248,70.15,2275.7,625.895833333333,163,678.59,0,932.8,"Unavailable at UM","Unavailable at UM",4271.73,"Unavailable at UM",4271.73,4271.73,0,488,641,350,12,25,1401,15,"0","4",9,16,8,43,1404,43,44,1491,564,0,"Unavailable at UM",704,766,15,1111,106,995,399,241,13,16,13,199,"0"
"12",2022-04-01,"Primary Clinic #12","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"234.1",1,"394.43","1328",1241,68,19,548.67,0,0,3120,612.444438666667,151.5,1426.75,0,932.8,"Unavailable at UM","Unavailable at UM",4271.73,"Unavailable at UM",4271.73,4271.73,0,423,645,258,2,117,936,116,"0","2",5,32,15,38,1248,38,39,1325,531,0,"Unavailable at UM",656,616,43,852,68,737,259,334,7,15,18,292,"2"
"13",2022-04-01,"Primary Clinic #13","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"234.1",1,"394.43","1865",1756,75,34,304,151.2,50.92,2330,759.95832575,0,767,0,932.8,"Unavailable at UM","Unavailable at UM",4271.73,"Unavailable at UM",4271.73,4271.73,0,629,886,344,6,254,1231,96,"0","0",6,65,18,124,1701,124,36,1862,700,0,"Unavailable at UM",996,846,39,1108,101,1048,436,388,13,15,22,337,"1"
"14",2022-04-01,"Primary Clinic #14","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"234.1",1,"394.43","1638",1611,25,2,472.58,0,0,2963,685.479153666667,154.5,730.34,0,932.8,"Unavailable at UM","Unavailable at UM",4271.73,"Unavailable at UM",4271.73,4271.73,0,756,671,207,4,686,734,41,"0","1",16,57,6,177,1431,177,18,1630,519,0,"Unavailable at UM",543,978,90,1170,263,1139,577,336,24,14,21,277,"0"
"15",2022-04-01,"Primary Clinic #15","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"234.1",1,"394.43","1062",856,140,66,574.1325,0,0,1735,395.416665583333,0,847.25,0,667.73,"Unavailable at UM","Unavailable at UM",1344,"Unavailable at UM",1344,1344,0,0,12,903,147,101,844,46,"0","0",0,9,8,16,1014,16,31,1061,400,0,"Unavailable at UM",32,1027,7,721,165,616,186,236,6,14,35,181,"0"
"16",2022-04-01,"Primary Clinic #16","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"234.1",1,"394.43","239",195,43,1,101.3175,0,0,0,99.6666666666667,0,0,0,667.73,"Unavailable at UM","Unavailable at UM",1344,"Unavailable at UM",1344,1344,0,0,5,201,33,16,198,9,"0","0",1,3,2,11,225,11,1,239,78,0,"Unavailable at UM",9,231,1,193,71,165,45,44,3,3,6,32,"0"
"17",2022-04-01,"Primary Clinic #17","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"234.1",1,"394.43","54",47,7,0,0,0,0,8.5,29.7916666666667,0,0,0,667.73,"Unavailable at UM","Unavailable at UM",1344,"Unavailable at UM",1344,1344,0,0,2,48,4,7,32,9,"0","0",0,3,0,2,51,2,0,53,14,0,"Unavailable at UM",1,53,1,39,12,38,8,14,1,0,3,10,"0"
"18",2022-04-01,"Primary Clinic #18","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",2022-04-01,"Primary Clinic #19","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"234.1",1,"394.43","850",804,43,3,141,71.5,0,1197.75,500.138883833333,313.75,941.25,0,639.56,"Unavailable at UM","Unavailable at UM",3148,"Unavailable at UM",3148,3148,0,254,443,149,4,115,635,50,"0","0",3,23,6,22,799,22,26,847,314,0,"Unavailable at UM",490,357,5,668,61,614,257,292,8,10,27,246,"1"
"20",2022-04-01,"Primary Clinic #20","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"234.1",1,"394.43","734",698,31,5,157.5,96,0,668.4,470.166660166667,128,4,0,639.56,"Unavailable at UM","Unavailable at UM",3148,"Unavailable at UM",3148,3148,0,276,336,120,2,95,491,69,"0","1",1,18,11,25,675,25,30,730,270,0,"Unavailable at UM",357,375,0,492,45,464,181,183,2,3,9,169,"0"
"21",2022-05-01,"Primary Clinic #1","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"249.27",1,"388.8","1518",1338,159,21,322.25,68,0,1747.98,718.520826833333,169.93,893.6,0,643.05,"Unavailable at UM","Unavailable at UM",3103.52,"Unavailable at UM",3103.52,3103.52,0,270,717,505,26,178,1173,68,"0","2",4,34,20,45,1392,45,76,1514,538,0,"Unavailable at UM",609,908,12,1073,147,967,360,386,12,16,22,335,"1"
"22",2022-05-01,"Primary Clinic #2","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"249.27",1,"388.8","2321",2093,213,15,620,0,218.83,1041.55,941.05554725,129,315.07,0,643.05,"Unavailable at UM","Unavailable at UM",3103.52,"Unavailable at UM",3103.52,3103.52,0,392,1013,885,31,24,2225,12,"0","1",12,16,15,28,2174,28,117,2319,928,0,"Unavailable at UM",941,1358,9,1645,164,1511,669,671,21,27,54,568,"1"
"23",2022-05-01,"Primary Clinic #3","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"249.27",1,"388.8","1494",1352,136,6,146,152,56.69,1802.5,556.472210666667,262.5,957.25,0,643.05,"Unavailable at UM","Unavailable at UM",3103.52,"Unavailable at UM",3103.52,3103.52,0,207,689,583,15,149,1185,62,"0","0",3,24,14,32,1405,32,54,1491,669,0,"Unavailable at UM",655,814,10,1190,202,1079,488,409,12,22,58,317,"0"
"24",2022-05-01,"Primary Clinic #4","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"249.27",1,"388.8","1419",1316,97,6,354.75,102,0,452,653.069437583333,283.45,20,0,643.05,"Unavailable at UM","Unavailable at UM",3103.52,"Unavailable at UM",3103.52,3103.52,0,247,646,502,24,151,994,129,"0","0",5,50,13,37,1323,37,53,1414,612,0,"Unavailable at UM",550,854,9,1010,141,965,312,333,5,14,26,287,"1"
"25",2022-05-01,"Primary Clinic #5","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"249.27",1,"388.8","1040",935,96,9,258,0,69.69,2174.3,397.94443975,0,0,0,643.05,"Unavailable at UM","Unavailable at UM",3103.52,"Unavailable at UM",3103.52,3103.52,0,219,509,296,16,114,797,53,"0","0",7,14,11,22,994,22,23,1039,355,0,"Unavailable at UM",529,508,4,716,132,702,275,244,7,9,26,201,"1"
"26",2022-05-01,"Primary Clinic #6","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"249.27",1,"388.8","1085",1010,67,8,540.57,114,0,2632,488.583330083333,138.55,1346.26,0,643.05,"Unavailable at UM","Unavailable at UM",3103.52,"Unavailable at UM",3103.52,3103.52,0,318,470,287,10,32,957,30,"0","1",9,19,5,35,1020,35,26,1084,376,0,"Unavailable at UM",509,543,13,780,123,729,316,249,9,8,8,224,"0"
"27",2022-05-01,"Primary Clinic #7","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"249.27",1,"388.8","1403",1321,79,3,157.25,0,87.03,1007,800.944421333333,423,848.8,0,643.05,"Unavailable at UM","Unavailable at UM",2821.38,"Unavailable at UM",2821.38,3103.52,0,369,549,465,20,210,994,85,"0","0",14,42,11,48,1319,48,34,1401,678,0,"Unavailable at UM",466,921,11,1116,234,1049,429,294,8,18,26,242,"0"
"28",2022-05-01,"Primary Clinic #8","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"249.27",1,"388.8","1758",1540,201,17,659,318,0,2142,752.374997833333,8,0,0,643.05,"Unavailable at UM","Unavailable at UM",3103.52,"Unavailable at UM",3103.52,3103.52,0,384,689,664,21,86,1513,55,"0","0",2,18,15,44,1563,44,146,1756,698,0,"Unavailable at UM",731,1002,16,1313,162,1221,404,395,10,11,26,347,"1"
"29",2022-05-01,"Primary Clinic #9","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"249.27",1,"388.8","2255",2157,89,9,528,0,435.32,2755,635.916660166667,136,1062.7,0,984,"Unavailable at UM","Unavailable at UM",4151.47,"Unavailable at UM",4151.47,4151.47,0,856,1007,386,6,342,1602,107,"0","0",19,70,22,123,2059,123,69,2252,811,0,"Unavailable at UM",1048,1197,34,1504,164,1409,559,503,13,13,37,439,"1"
"30",2022-05-01,"Primary Clinic #10","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"249.27",1,"388.8","2498",2349,145,4,628.6,444,135.42,4126,897.451374083333,177,2333.9,0,984,"Unavailable at UM","Unavailable at UM",4151.47,"Unavailable at UM",4151.47,4151.47,0,623,1069,763,43,61,2359,14,"0","0",13,23,12,55,2365,55,75,2497,948,0,"Unavailable at UM",986,1489,32,1996,214,1931,954,506,27,27,63,388,"1"
"31",2022-05-01,"Primary Clinic #11","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"249.27",1,"388.8","1534",1459,71,4,277.58,224,84.23,2183,645.305554833333,137.5,782.42,0,984,"Unavailable at UM","Unavailable at UM",4151.47,"Unavailable at UM",4151.47,4151.47,0,474,706,347,7,25,1425,23,"0","1",7,20,14,43,1447,43,43,1533,590,0,"Unavailable at UM",747,760,22,1127,75,1001,398,245,12,11,17,204,"1"
"32",2022-05-01,"Primary Clinic #12","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"249.27",1,"388.8","1255",1177,67,11,613.25,0,0,2941,553.944438666667,128,1373.95,0,984,"Unavailable at UM","Unavailable at UM",4151.47,"Unavailable at UM",4151.47,4151.47,0,346,616,293,0,120,911,96,"0","1",5,30,17,33,1187,33,33,1253,482,0,"Unavailable at UM",586,598,39,831,69,739,261,335,11,12,15,295,"2"
"33",2022-05-01,"Primary Clinic #13","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"249.27",1,"388.8","1781",1678,86,17,215.5,122.4,39.36,2180,746.958327916667,0,878.5,0,984,"Unavailable at UM","Unavailable at UM",4151.47,"Unavailable at UM",4151.47,4151.47,0,608,826,342,5,246,1089,111,"0","1",4,64,15,88,1662,88,29,1779,670,0,"Unavailable at UM",963,781,41,1047,72,1005,390,398,5,20,27,345,"1"
"34",2022-05-01,"Primary Clinic #14","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"249.27",1,"388.8","1638",1590,48,0,513.55,0,42.97,2595,613.979160166667,169,645.31,0,984,"Unavailable at UM","Unavailable at UM",4151.47,"Unavailable at UM",4151.47,4151.47,0,756,670,210,2,691,728,41,"0","1",15,49,9,190,1424,190,21,1638,516,0,"Unavailable at UM",556,967,94,1119,214,1071,565,358,25,12,30,289,"2"
"35",2022-05-01,"Primary Clinic #15","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"249.27",1,"388.8","1084",897,136,51,599.3095,0,0,0,414.736108583333,0,953.15,0,671.47,"Unavailable at UM","Unavailable at UM",1300.8,"Unavailable at UM",1300.8,1300.8,0,0,14,933,137,103,869,46,"0","0",0,16,11,12,1042,12,27,1081,399,0,"Unavailable at UM",41,1049,2,745,212,638,177,197,1,8,24,164,"0"
"36",2022-05-01,"Primary Clinic #16","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"249.27",1,"388.8","252",194,57,1,105.7605,0,0,0,111.041666666667,0,0,0,671.47,"Unavailable at UM","Unavailable at UM",1300.8,"Unavailable at UM",1300.8,1300.8,0,0,1,219,32,14,220,5,"0","0",1,4,2,5,243,5,4,252,96,0,"Unavailable at UM",11,241,1,213,70,182,52,31,1,2,4,24,"0"
"37",2022-05-01,"Primary Clinic #17","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,"249.27",1,"388.8","48",43,5,0,0,0,0,18,32.5,0,0,0,671.47,"Unavailable at UM","Unavailable at UM",1300.8,"Unavailable at UM",1300.8,1300.8,0,0,1,41,6,4,29,9,"0","0",0,3,0,1,47,1,0,48,14,0,"Unavailable at UM",1,48,NA,32,11,31,10,11,0,0,0,11,"0"
"38",2022-05-01,"Primary Clinic #18","UM#?",3,"2-Academic HealthSystem",160,29,20,1,1,2,1,20,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
