"","Month (We are collecting April, May, June, July, August, September of 2022 for each clinic)","Unit of Measure Name (Primary Clinic #1, Primary Clinic #2, etc) (if you have 150 clinics you should have 150 lines of data submitted here)","Organization Number","Organization Region Type (Rural, Community, Urban): Rural 1, Community 2, Urban 3","Organization Type (Stand Alone Medical Group, Academic HealthSystem, Integrated Health System, Federally Qualitifed Health System, Rural Health System): Stand Alone 1, Academic 2, Integrated 3, Federally Qualified 4, Rural 5","Number of Ambulatory Clinics (Total Clinics: Primary Peds, Primary Adult, Primary Family, Specialty, Hospital Based, Stand Alone, other)","Total Number of Ambulatory Primary Care Clinics that care for all ages (pediatric through adult)","Total number of Ambulatory Primary Care Clinics that Serve Adults over 18 years of Age","Organization Magnet Status: Yes 1, No 2","Organization Magnet Status inclusive of Ambulatory Structure: Yes 1, No 2","Organization Stand alone for Ambulatory Structure. Achievement of Magnet: Yes 1, No 2","Chief Nursing Officer Present for Ambulatory Structure: Yes 1, No 2","Number of Primary Care Clinics serving adults over 18 years of age with RN Manager","Ratio of RN Manager to Primary Care Clinic serving over 18 year old adults (choose the following: 1= 1:1 ratio, 2= 3:1 ratio, 3= 6:1 ratio, 4= 1: 10 or over clinics ratio)","Collective Bargaining Unit in Place Ambulatory Structure: Yes 1, No 2","Centralized RN Staffing in place for Ambulatory Primary Care Clinics Submitted? Yes 1 or No 2","If Centralized RN Staffing in place for Ambulatory Primary Clinics Submitted what are Actual RN Hours Worked/month by that combined staff?","Centralized Telehealth Center in place for Ambulatory Primary Care Clinics for the purposes of Access, Population Health or Care Coordination: Yes 1 or No 2","If Centralized Telehealth Center in place for Ambulatory Primary Care Clinics Submitted what are the actual Hours Worked/month by that combined staff?","Unit of Measurement Total Number of Patients over 18 years of age seen/month (Total number of patients seen/month= visits +  telehealth encounters + RN Visits/Month collected for the 6 months collected) (April thru September 2022) (Sum of Column U, V and W)","Unit of Measurement Total Number of Visits/Month/6 months collected for patients over 18 years of age","Unit of Measurement Total Number of RN Visits/Month/6 months collected for patients over 18 years of age","Unit of Measurement Total Number of RN Tele or Virtual Visits/Month/6 months collected","Actual Hours Worked RN/Clinic/Month Collected","Actual Hours Worked APN/Clinic/Month Collected","Actual Hours Worked PA/Clinic/Month Collected","Actual Hours Worked MA/Clinic/Month Collected","Actual Hours Worked MD/Clinic/Month Collected","Actual Hours Worked LPN/Clinic/Month Collected","Actual Hours Worked/Other Ancillary Staff","Actual Hours Worked Contract Staff/Clinic/Month Collected","Budgeted Hours Worked RN/Clinic/Month Collected","Budgeted Hours Worked APN/Clinic/Month Collected","Budgeted Hours Worked PA/Clinic/Month Collected","Budgeted Hours Worked MA/Clinic/Month Collected","Budgeted Hours Worked MD/Clinic/Month Collected","Budgeted Hours Worked LPN/Clinic/Month Collected","Budgeted Hours Worked/Other Ancillary Staff/Clinic/Month Collected","Budgeted Hours Worked Contract Staff/Clinic/Month Collected","Number of Patients Served between 18-40 years of age/Clinic/Month","Number of Patients Served between 41-65 years of age/Clinic/Month","Number of Patients Served between 66-89 years of age/Clinic/Month","Number of Patients Served over 89 years of age/Clinic/Month","Race: Number of Black African American Patients Served in Unit/Month Collected","Race: Number of Caucasian/White Patients Served in Unit/Month Collected","Race: Number of Asian Patients Served in Unit/Month Collected","Race: Number of Native Hawaiaan Patients Served in Unit/Month Collected","Race: Number Of Other Pacific Islander Patients Served in Unit/Month Collected","Race: Number of American Indian/Alaskan Indian Patients Served in Unit/Month Collected","Race: Number of Multiracial Patients (more than 1 race identified) Served in Unit/Month Collected","Race: Number of Unreported Race Patients Served in Unit/Month Collected","Ethnicity: Numberof Hispanic Patient Service in Unit/Month Collected","Ethnicity: Number of Non Hispanic Patients. Served in Unit/Month Collected","Ethnicity: Number of Hispanic Patients Served in Unit/Month Collected","Ethnicity: Number of Unreported Ethnicity Patients Served in Unit/Month Collected","Gender at Birth: Number of Female Patients Served in Unit/Month Collected","Gender at Birth: Number of Male Patients Served in Unit/Month Collected","Gender at Birth: Number of Patients Who Identify as Unknown Gender at Time of Birth in Unit/Month Collected","Gender at Birth: Number of Patients Who Identify as ""X"" Gender at time of Birth in Unit/Month","Number of Patients with Private Payor in Unit/Month Collected","Number of Patients with Public/Governmental Payor in Unit/Month Collected","Number of Patients that are Uninsured in unit/month collected","Number of Patients Blood Pressure Assessed in Unit/Month Collected","Number of Patients with BP over 140/90/Unit/Month Collected","Number of Patients with Body Mass Index Assessed in Unit/Month Collected","Number of Patients with Body Mass Index over 30 in unit/month collected","Number of Patients with HGB A1C Assessed in unit/month collected","Number of Patients with HGB A1C over 9.0 in unit/month collected","Number of Patients with HGB A1C 8.0-8.9 in unit/month collected","Number of Patients with HGB A1C under 7.0-7.9in unit/month collected","Number of Patients with HGB A1C under 7.0"
"14","May","Bristol",NA,2,4,1,1,1,2,2,2,1,"1",1899-12-31 01:02:00,2,2,"N/A",1,"This is a combined total of 5.6 FTE for the organization of RN in population health supporting all locations together",472,399,59,14,184,460,0,552,0,0,184,0,368,552,0,552,0,0,184,0,136,220,43,0,30,170,8,0,NA,1,NA,190,184,176,NA,39,233,144,NA,NA,52,304,37,320,63,312,163,75,7,5,7,56
"15","May","Clinton",NA,2,4,1,1,1,2,2,2,1,"1",1899-12-31 01:03:00,2,2,NA,1,NA,721,647,73,1,184,552,0,552,0,184,368,0,368,552,0,552,0,0,368,0,246,321,79,1,14,411,21,1,NA,4,NA,196,233,390,NA,24,385,249,NA,NA,106,387,135,427,57,399,162,98,6,10,5,77
"16","May","Danbury",NA,2,4,1,1,1,2,2,2,1,"1",1899-12-31 01:02:00,2,2,NA,1,NA,1238,1123,112,3,516,404,0,772,368,0,368,0,516,404,0,772,368,0,368,0,387,620,117,1,63,352,26,7,NA,2,NA,673,660,390,NA,73,732,354,NA,NA,161,730,192,846,159,798,406,164,21,12,24,106
"17","May","Enfield",NA,2,4,1,1,1,2,2,2,1,"1",1899-12-31 01:02:00,2,2,NA,1,NA,435,392,42,1,220,0,148,294,220,0,184,0,220,0,148,368,220,0,184,0,164,198,29,2,35,237,14,0,NA,1,NA,105,59,288,NA,45,218,153,NA,NA,78,292,13,265,58,255,129,36,4,1,7,24
"18","May","Groton",NA,2,4,1,1,1,2,2,2,1,"1",1899-12-31 01:03:00,2,2,NA,1,NA,641,606,33,2,368,184,184,552,184,0,184,0,368,184,184,552,184,0,184,0,211,297,97,1,53,332,29,2,NA,2,NA,188,167,385,NA,54,368,224,NA,NA,142,426,23,500,113,476,241,86,8,13,14,51
"19","May","Hartford",NA,3,4,1,0,0,2,2,2,1,"N/A",1899-12-31 01:01:00,2,2,NA,1,NA,139,137,2,0,1214,332,184,2392,1140,184,920,0,1214,1068,184,2392,1140,184,920,0,135,1,1,0,26,9,5,1,NA,1,NA,95,96,35,NA,6,21,15,NA,NA,17,119,1,139,3,136,97,16,NA,1,1,14
"20","May","Meriden",NA,2,4,1,1,1,2,2,2,1,"1",1899-12-31 01:01:00,2,2,NA,1,NA,2663,2481,181,1,1058,1730,368,2208,552,0,920,0,1242,1730,368,2466,552,0,920,0,1010,1199,268,4,274,764,50,8,NA,13,NA,1372,1483,864,NA,134,1623,781,NA,NA,349,1868,239,1958,406,1871,1051,459,50,32,39,340
"21","May","Middletown",NA,2,4,1,1,1,2,2,2,1,"1",1899-12-31 01:02:00,2,2,NA,1,NA,1499,1405,68,26,404,1104,0,1656,320,184,552,0,920,1288,0,1748,320,0,552,0,529,676,198,2,306,619,59,3,NA,8,NA,410,347,928,NA,130,835,538,NA,NA,316,995,64,1128,198,1024,527,186,33,11,26,113
"22","May","New Britain",NA,2,4,1,1,1,2,2,2,1,"1",1899-12-31 01:01:00,2,2,NA,1,NA,2905,2644,254,7,994,1436,184,2944,920,332,1288,0,1692,1730,184,3312,1104,0,1288,0,1040,1238,362,4,250,640,75,5,NA,6,NA,1668,1732,782,NA,130,1686,874,NA,NA,481,1975,146,2090,544,2008,1094,492,48,36,55,355
"23","May","New London",NA,2,4,1,1,1,2,2,2,1,"1",1899-12-31 01:03:00,2,2,NA,1,NA,1981,1821,154,6,884,1288,184,1436,424,0,552,0,884,1288,184,1804,424,0,736,0,637,936,247,2,284,642,28,6,NA,13,NA,848,847,841,NA,133,1071,702,NA,NA,319,1349,129,1528,394,1385,747,302,46,22,29,204
"24","May","Norwalk",NA,2,4,1,1,1,2,2,2,1,"1",1899-12-31 01:02:00,2,2,NA,1,NA,647,582,65,0,184,110,184,552,184,0,184,0,368,294,184,662,184,0,184,0,247,264,71,0,93,138,12,0,NA,0,NA,339,315,210,NA,57,366,213,NA,NA,90,402,75,473,99,450,229,72,5,6,10,51
"25","May","Stamford",NA,2,4,1,1,1,2,2,2,1,"1",1899-12-31 01:01:00,2,2,NA,1,NA,947,890,57,0,662,772,0,1214,690,0,368,0,736,772,0,1472,690,0,368,0,356,442,91,1,136,220,30,3,NA,3,NA,498,524,298,NA,68,613,271,NA,NA,112,570,179,650,127,635,293,136,13,4,16,105
"26","May","Waterbury",NA,2,4,1,1,1,2,2,2,1,"1",1899-12-31 01:02:00,2,2,NA,1,NA,818,765,52,1,368,404,184,920,368,0,368,0,442,404,184,920,368,0,368,0,329,384,52,0,122,254,8,1,NA,4,NA,376,395,289,NA,81,469,283,NA,NA,102,620,32,463,126,439,249,147,22,7,17,102
"27","June","Bristol",NA,2,4,1,1,1,2,2,2,1,"1",1899-12-31 01:02:00,2,2,"N/A",1,"This is a combined total of 5.6 FTE for the organization of RN in population health supporting all locations together",501,426,64,11,176,440,0,528,0,0,176,0,352,528,0,528,0,0,176,0,132,231,63,0,32,178,8,0,NA,0,NA,208,207,188,NA,31,258,153,NA,NA,64,309,50,362,83,353,189,110,13,9,11,77
"28","June","Clinton",NA,2,4,1,1,1,2,2,2,1,"1",1899-12-31 01:03:00,2,2,NA,1,NA,690,612,77,1,176,528,0,528,0,176,352,0,352,528,0,528,0,0,352,0,234,291,85,2,16,384,21,1,NA,0,NA,190,217,371,NA,24,386,216,NA,NA,92,373,127,421,54,368,141,99,8,8,12,71
"29","June","Danbury",NA,2,4,1,1,1,2,2,2,1,"1",1899-12-31 01:02:00,2,2,NA,1,NA,1263,1125,129,9,492,388,0,740,352,0,352,0,492,388,0,740,352,0,352,0,381,606,137,1,77,361,36,5,NA,4,NA,642,622,416,NA,87,720,357,NA,NA,170,751,183,907,153,875,443,181,20,17,26,120
"30","June","Enfield",NA,2,4,1,1,1,2,2,2,1,"1",1899-12-31 01:02:00,2,2,NA,1,NA,466,411,55,0,212,0,140,282,212,0,176,0,212,0,140,352,212,0,176,0,161,208,42,1,31,218,12,0,NA,0,NA,150,92,266,NA,53,215,173,NA,NA,82,312,14,281,62,271,141,53,9,NA,3,42
"31","June","Groton",NA,2,4,1,1,1,2,2,2,1,"1",1899-12-31 01:03:00,2,2,NA,1,NA,701,651,48,2,352,176,176,528,176,0,176,0,352,176,176,528,176,0,176,0,215,328,106,2,64,347,36,1,NA,2,NA,201,165,436,NA,50,400,243,NA,NA,156,464,24,563,133,545,269,87,19,6,17,43
"32","June","Hartford",NA,3,4,1,0,0,2,2,2,1,"N/A",1899-12-31 01:01:00,2,2,NA,1,NA,161,154,7,0,1162,316,176,2288,1092,176,880,0,1162,1020,176,2288,1092,176,880,0,153,1,0,0,27,6,10,0,NA,1,NA,110,105,41,NA,8,28,19,NA,NA,17,134,3,144,2,148,103,17,0,NA,NA,17
"33","June","Meriden",NA,2,4,1,1,1,2,2,2,1,"1",1899-12-31 01:01:00,2,2,NA,1,NA,2841,2643,196,2,1012,1654,352,2112,528,0,880,0,1188,1654,352,2358,528,0,880,0,1074,1286,280,3,327,787,49,14,NA,14,NA,1452,1579,920,NA,144,1674,873,NA,NA,367,1988,259,2042,449,1934,1052,522,56,20,62,382
"34","June","Middletown",NA,2,4,1,1,1,2,2,2,1,"1",1899-12-31 01:02:00,2,2,NA,1,NA,1905,1715,71,119,388,1056,0,1584,320,176,528,0,880,1232,0,1672,320,0,528,0,608,846,260,2,384,776,70,3,NA,6,NA,476,386,1175,NA,154,958,699,NA,NA,357,1257,76,1370,237,1272,651,242,39,27,20,157
"35","June","New Britain",NA,2,4,1,1,1,2,2,2,1,"1",1899-12-31 01:01:00,2,2,NA,1,NA,2958,2694,259,5,950,1372,176,2816,880,316,1232,0,1620,1654,176,3168,1056,0,1232,0,1018,1277,397,2,278,654,82,5,NA,10,NA,1665,1736,816,NA,142,1712,896,NA,NA,501,1991,163,2115,491,2043,1106,533,54,37,57,387
"36","June","New London",NA,2,4,1,1,1,2,2,2,1,"1",1899-12-31 01:03:00,2,2,NA,1,NA,2210,2004,200,6,844,1232,176,1374,404,0,528,0,844,1232,176,1724,404,0,704,0,676,1014,309,6,323,719,43,6,NA,14,NA,899,943,925,NA,136,1189,762,NA,NA,334,1490,150,1722,408,1595,819,318,46,21,44,208
"37","June","Norwalk",NA,2,4,1,1,1,2,2,2,1,"1",1899-12-31 01:02:00,2,2,NA,1,NA,596,527,69,0,176,106,176,528,176,0,176,0,352,282,176,634,176,0,176,0,231,234,62,2,88,135,10,0,NA,1,NA,293,285,203,NA,39,341,184,NA,NA,98,336,82,407,95,395,193,81,12,7,13,49
"38","June","Stamford",NA,2,4,1,1,1,2,2,2,1,"1",1899-12-31 01:01:00,2,2,NA,1,NA,1029,932,97,0,634,740,0,1162,660,0,352,0,704,740,0,1408,660,0,352,0,380,446,107,1,141,212,50,1,NA,2,NA,526,533,314,NA,85,648,278,NA,NA,124,582,207,729,147,711,343,177,15,13,16,136
"39","June","Waterbury",NA,2,4,1,1,1,2,2,2,1,"1",1899-12-31 01:02:00,2,2,NA,1,NA,862,783,79,0,352,388,176,880,352,0,352,0,422,388,176,880,352,0,352,0,320,410,53,1,128,282,7,2,NA,7,NA,357,408,304,NA,71,477,285,NA,NA,113,627,32,472,141,442,246,143,20,6,7,108
"40","July","Bristol",NA,2,4,1,1,1,2,2,2,1,"1",1899-12-31 01:02:00,2,2,"N/A",1,"This is a combined total of 5.6 FTE for the organization of RN in population health supporting all locations together",461,395,57,9,168,420,0,504,0,0,168,0,336,504,0,504,0,0,168,0,131,226,37,1,25,159,12,0,NA,1,NA,198,189,177,NA,29,254,132,NA,NA,48,299,48,332,66,322,169,85,9,10,9,55
"41","July","Clinton",NA,2,4,1,1,1,2,2,2,1,"1",1899-12-31 01:03:00,2,2,NA,1,NA,634,563,64,7,168,504,0,504,0,168,336,0,336,504,0,504,0,0,336,0,204,297,62,0,19,353,16,1,NA,3,NA,171,181,360,NA,22,347,208,NA,NA,85,349,106,401,60,361,140,71,7,7,7,51
"42","July","Danbury",NA,2,4,1,1,1,2,2,2,1,"1",1899-12-31 01:02:00,2,2,NA,1,NA,1208,1078,130,0,470,370,0,706,336,0,336,0,470,370,0,706,336,0,336,0,334,607,136,1,73,329,36,4,NA,3,NA,633,620,405,NA,53,694,338,NA,NA,165,701,190,887,135,858,436,170,20,10,16,125
"43","July","Enfield",NA,2,4,1,1,1,2,2,2,1,"1",1899-12-31 01:02:00,2,2,NA,1,NA,426,382,44,0,202,0,134,268,202,0,168,0,202,0,134,336,202,0,168,0,149,196,37,0,26,231,13,0,NA,1,NA,111,70,278,NA,34,200,159,NA,NA,78,278,18,272,56,261,128,38,5,1,4,28
"44","July","Groton",NA,2,4,1,1,1,2,2,2,1,"1",1899-12-31 01:03:00,2,2,NA,1,NA,686,630,52,4,336,168,168,504,168,0,168,0,336,168,168,504,168,0,168,0,208,324,98,0,63,316,36,3,NA,9,NA,203,157,420,NA,53,371,247,NA,NA,141,452,24,536,134,527,273,102,17,9,19,57
"45","July","Hartford",NA,3,4,1,0,0,2,2,2,1,"N/A",1899-12-31 01:01:00,2,2,NA,1,NA,99,92,7,0,1108,302,168,2184,1042,168,840,0,1108,974,168,2184,1042,168,840,0,90,2,0,0,15,4,5,0,NA,0,NA,68,64,23,NA,5,15,7,NA,NA,8,82,2,87,3,87,61,8,0,0,0,8
"46","July","Meriden",NA,2,4,1,1,1,2,2,2,1,"1",1899-12-31 01:01:00,2,2,NA,1,NA,2461,2233,206,22,966,1580,336,2016,504,0,840,0,1134,1580,336,2252,504,0,840,0,949,1063,219,3,273,671,58,7,NA,9,NA,1215,1351,753,NA,129,1412,750,NA,NA,302,1686,221,1820,345,1721,924,423,46,28,42,307
"47","July","Middletown",NA,2,4,1,1,1,2,2,2,1,"1",1899-12-31 01:02:00,2,2,NA,1,NA,1759,1577,81,101,370,1008,0,1512,320,168,504,0,840,1176,0,1596,320,0,504,0,575,783,217,2,364,717,56,2,NA,7,NA,431,378,1056,NA,143,928,607,NA,NA,346,1120,87,1244,200,1142,597,206,31,13,27,133
"48","July","New Britain",NA,2,4,1,1,1,2,2,2,1,"1",1899-12-31 01:01:00,2,2,NA,1,NA,2741,2498,233,10,908,1310,168,2688,840,302,1176,0,1546,1580,168,3024,1008,0,1176,0,952,1193,354,2,245,614,74,4,NA,8,NA,1553,1607,750,NA,141,1570,854,NA,NA,441,1863,143,1980,403,1916,1048,503,65,32,61,342
"49","July","New London",NA,2,4,1,1,1,2,2,2,1,"1",1899-12-31 01:03:00,2,2,NA,1,NA,1902,1752,142,8,806,1176,168,1310,386,0,504,0,806,1176,168,1646,386,0,672,0,631,881,239,1,276,626,34,4,NA,8,NA,804,826,801,NA,125,1048,654,NA,NA,300,1285,136,1533,344,1413,732,280,49,26,42,163
"50","July","Norwalk",NA,2,4,1,1,1,2,2,2,1,"1",1899-12-31 01:02:00,2,2,NA,1,NA,663,581,81,1,168,100,168,504,168,0,168,0,336,268,168,604,168,0,168,0,247,257,76,1,108,146,10,1,NA,1,NA,315,313,211,NA,57,364,214,NA,NA,97,386,87,485,89,476,241,89,12,2,10,65
"51","July","Stamford",NA,2,4,1,1,1,2,2,2,1,"1",1899-12-31 01:01:00,2,2,NA,1,NA,891,815,75,1,604,706,0,1108,630,0,336,0,672,706,0,1344,630,0,336,0,321,394,99,1,133,214,34,0,NA,4,NA,430,446,297,NA,72,554,256,NA,NA,106,526,161,651,129,639,280,115,9,8,15,84
"52","July","Waterbury",NA,2,4,1,1,1,2,2,2,1,"1",1899-12-31 01:02:00,2,2,NA,1,NA,782,731,50,1,336,370,168,840,336,0,336,0,404,370,168,840,336,0,336,0,282,375,75,0,111,268,9,1,NA,4,NA,337,391,267,NA,73,452,256,NA,NA,97,587,36,462,105,381,202,117,13,7,11,87
